id,pop,lat,lon,Microchip,Weight,Sex,AgeClass,concentration,PlateID,Row,Column,order_dart,id_b
T42,U_TENT_15,-28.959487,151.544385,,,,,6.4,2,H,11,179,U_TENT_15_3
SDS11,R_B_SEV_8,-29.179456,151.111784,7922E4C,1.27,F,A,5.56,2,H,2,180,R_B_SEV_8_3
SUS19,R_A_SEV_5,-29.474119,151.485041,7922CB6,0.93,M,A,9.62,2,H,3,181,R_A_SEV_5_3
SUS27,R_A_SEV_2,-29.506811,151.589001,7.92E+40,1.16,F,A,11,2,H,4,182,R_A_SEV_2_6
SUS35,R_A_SEV_6,-29.463007,151.478227,7922C7F,1.22,F,A,12.7,2,H,5,183,R_A_SEV_6_4
T2,U_TENT_6,-29.030611,151.851523,7923DAE,1.79,M,A,2.7,2,H,6,184,U_TENT_6_2
T10,U_TENT_8,-29.035987,151.759721,7922DCC,0.57,F,J,3.28,2,H,7,185,U_TENT_8_6
T18,U_TENT_5,-29.022531,151.86925,7922D53,0.67,F,J,8.02,2,H,8,186,U_TENT_5_2
T26,U_TENT_14,-28.989203,151.701152,7.92E+52,1.5,M,A,2.58,2,H,9,187,U_TENT_14_2
V7,U_OVENS_7,-36.699684,146.9096,0007A3166C,,F,A,16.18,3,A,1,188,U_OVENS_7_2
V15a,U_OVENS_6,-36.717882,146.945064,00079F6EB8,1.27,F,A,4.46,3,A,2,189,U_OVENS_6_1
V23,R_A_MITTA_3,-36.891481,147.631409,0007A3573B,1.18,M,A,5.08,3,A,3,190,R_A_MITTA_3_2
V31,R_A_MITTA_3,-36.891481,147.631409,00079F8693,0.46,F,J,7.9,3,A,4,191,R_A_MITTA_3_3
V8,U_OVENS_7,-36.699684,146.9096,00079FF079,,F,A,4.8,3,B,1,192,U_OVENS_7_3
V15b,U_OVENS_2,-36.803133,147.057653,00079FCB76,1.46,M,A,4.18,3,B,2,193,U_OVENS_2_1
V24,R_A_MITTA_3,-36.891481,147.631409,00079F5B28,1.28,M,A,3.56,3,B,3,194,R_A_MITTA_3_4
V32,R_A_MITTA_3,-36.891481,147.631409,0007A3DAE4,1.36,M,A,9.7,3,B,4,195,R_A_MITTA_3_5
V9,U_OVENS_3,-36.745153,147.016953,0007A3D097,1.56,M,A,5.7,3,C,1,196,U_OVENS_3_1
V17,U_OVENS_10,-36.629973,146.821417,0007A3DF5F,0.78,F,J,3.68,3,C,2,197,U_OVENS_10_1
V25,R_A_MITTA_3,-36.891481,147.631409,0007A07DA7,0.51,F,J,4.84,3,C,3,198,R_A_MITTA_3_6
V33,R_A_MITTA_3,-36.891481,147.631409,0007A2E92B,0.76,F,A,5.42,3,C,4,199,R_A_MITTA_3_7
V10,U_OVENS_5,-36.725589,146.963083,00079FE21C,0.93,F,A,5.6,3,D,1,200,U_OVENS_5_1
V18,U_OVENS_7,-36.699684,146.9096,0007A40005,0.76,M,J,2.22,3,D,2,201,U_OVENS_7_4
V26,U_OVENS_9,-36.638183,146.851507,0007A05500,1.02,M,J,8.18,3,D,3,202,U_OVENS_9_1
V34,R_B_MITTA_1,-36.508674,147.411724,0007A083BE,1.99,M,A,4.96,3,D,4,203,R_B_MITTA_1_1
V11,U_OVENS_5,-36.725589,146.963083,0007A06017,0.88,F,A,3.12,3,E,1,204,U_OVENS_5_2
V19,U_OVENS_7,-36.699684,146.9096,0007A2F36A,0.87,F,A,6.22,3,E,2,205,U_OVENS_7_5
V27,U_OVENS_9,-36.638183,146.851507,0007A3C815,0.82,F,J,4.8,3,E,3,206,U_OVENS_9_2
V35,R_B_MITTA_2,-36.508228,147.412276,0007A317F1,1.58,M,A,7.6,3,E,4,207,R_B_MITTA_2_1
V12,U_OVENS_5,-36.725589,146.963083,00079FCA68,0.99,F,A,4.98,3,F,1,208,U_OVENS_5_3
V20,R_B_MITTA_1,-36.508674,147.411724,0007A3F4D7,0.82,M,J,4.84,3,F,2,209,R_B_MITTA_1_2
V28,U_OVENS_8,-36.656708,146.856924,00079FDE3E,1.03,F,A,4.82,3,F,3,210,U_OVENS_8_1
V36,R_B_MITTA_3,-36.514876,147.374988,00079F6D2F,1.64,M,A,13.48,3,F,4,211,R_B_MITTA_3_1
V13,U_OVENS_1,-36.820253,147.072079,0007A02976,0.9,M,J,3.72,3,G,1,212,U_OVENS_1_1
V21,R_A_MITTA_1,-36.946087,147.607521,0007A3AAA3,0.93,M,A,3.66,3,G,2,213,R_A_MITTA_1_1
V29,U_OVENS_4,-36.738527,146.975783,00079FA3F0,1.34,M,A,2.54,3,G,3,214,U_OVENS_4_1
V37,R_B_MITTA_4,-36.51879,147.377085,00079F8056,1.36,M,A,14.76,3,G,4,215,R_B_MITTA_4_1
V14,U_OVENS_6,-36.717882,146.945064,0007A3A40E,1.02,F,A,5.04,3,H,1,216,U_OVENS_6_2
V22,R_A_MITTA_1,-36.946087,147.607521,0007A084A3,1.14,M,A,7.6,3,H,2,217,R_A_MITTA_1_2
V30,U_OVENS_7,-36.699684,146.9096,0007A0309B,1.68,M,A,2.82,3,H,3,218,U_OVENS_7_6
